"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Denver Broncos (DEN)","3","2","3","2","0","0","0","1","17.0","17.0","34.5%"
"2","Dallas Cowboys (DAL)","2","1","0","0","1","1","0","1","15.0","15.0","92.7%"
"3","Las Vegas Raiders (LV)","1","1","2","2","1","0","0","1","13.0","13.0","24.7%"
"4","Detroit Lions (DET)","6","1","0","1","0","0","0","1","12.0","12.0","38.1%"
"5","New York Giants (NYG)","4","0","2","1","0","0","0","1","12.0","12.0","2.3%"
"6","Jacksonville Jaguars (JAC)","3","2","0","1","0","0","0","1","11.0","11.0","50.3%"
"7","Pittsburgh Steelers (PIT)","3","1","2","2","0","0","0","1","10.0","10.0","75.8%"
"8","Kansas City Chiefs (KC)","6","0","1","2","0","0","0","1","10.0","10.0","77.7%"
"9","Seattle Seahawks (SEA)","3","2","1","1","0","0","0","1","10.0","10.0","22.1%"
"10","Minnesota Vikings (MIN)","4","1","0","2","0","0","0","1","10.0","10.0","10.9%"
"11","Cincinnati Bengals (CIN)","2","2","1","1","0","0","0","1","9.0","9.0","50.0%"
"12","Los Angeles Chargers (LAC)","1","2","0","0","0","0","0","1","9.0","9.0","13.6%"
"13","Carolina Panthers (CAR)","2","0","1","1","0","0","0","1","8.0","8.0","3.0%"
"14","Tennessee Titans (TEN)","6","0","1","1","0","0","0","1","8.0","8.0","3.5%"
"15","New York Jets (NYJ)","4","0","0","0","0","0","0","1","8.0","8.0","82.3%"
"16","Houston Texans (HOU)","6","0","0","0","0","0","0","1","7.0","7.0","32.0%"
"17","Green Bay Packers (GB)","3","0","1","1","0","0","0","1","7.0","7.0","26.4%"
"18","Buffalo Bills (BUF)","3","0","0","0","0","0","0","1","6.0","6.0","61.0%"
"19","Baltimore Ravens (BAL)","2","2","0","1","0","0","0","1","6.0","6.0","86.1%"
"20","Miami Dolphins (MIA)","3","1","0","0","0","0","0","1","6.0","6.0","69.9%"
"21","New England Patriots (NE)","2","1","1","0","0","0","0","1","5.0","5.0","13.6%"
"22","Cleveland Browns (CLE)","1","2","0","1","0","0","0","1","5.0","5.0","94.2%"
"23","San Francisco 49ers (SF)","3","0","1","2","0","0","0","1","4.0","4.0","97.8%"
"24","Tampa Bay Buccaneers (TB)","2","1","0","0","0","0","0","1","4.0","4.0","20.8%"
"25","New Orleans Saints (NO)","2","1","0","0","0","0","0","1","4.0","4.0","64.1%"
"26","Arizona Cardinals (ARI)","4","0","0","1","0","0","0","1","3.0","3.0","0.9%"
"27","Atlanta Falcons (ATL)","2","0","1","0","0","0","0","1","3.0","3.0","16.7%"
"28","Philadelphia Eagles (PHI)","1","1","0","1","0","0","0","1","2.0","2.0","51.6%"
"29","Washington Commanders (WAS)","2","0","2","1","0","0","0","1","2.0","2.0","8.1%"
"30","Los Angeles Rams (LAR)","3","1","0","0","0","0","0","1","1.0","1.0","21.2%"
"31","Chicago Bears (CHI)","0","0","1","1","0","0","0","1","1.0","1.0","34.0%"
"32","Indianapolis Colts (IND)","1","0","1","1","0","0","0","1","-1.0","-1.0","26.6%"
""
""
